mode,run,seed,hft_frac,n_ticks,shock_tick,shock_dp,speed_multiplier,vstar_postshock,calendar_post_volume,total_executed_volume,total_executed_trades,post_rv,pre_rv,post_rv_per_volume,post_rv_per_trade,post_vol_per_sqrt_volume,equal_volume_vol_ratio,post_window_volume,pre_window_volume,post_window_trades,pre_window_trades,post_window_ticks,pre_window_ticks,target_post_volume,post_volume_error,calendar_style_vol_ratio,spread_ratio,mm_stress_ratio,avg_sub_iters,threshold_hit_rate,book_depleted_rate
calendar,0,231,0.0,500,200,-10,2,,4015.0,6610.0,2142.0,0.27871794615063306,0.02001890084521361,6.960987666099727e-05,0.00021774839543018206,0.0004831116356348767,9.023352876183335,4004.0,2595.0,1280.0,856.0,299,200,4015.0,-11.0,3.1890487997533343,2.4961111120985713,0.0,1.0,1.0,0.0
event_time,0,231,0.0,500,200,-10,2,13.0,4015.0,10206.0,3335.0,0.30656494210258806,0.12124830413926083,7.603297175163395e-05,0.0002476291939439322,0.000617865719372712,2.5221350880900553,4032.0,4022.0,1238.0,1326.0,200,190,4015.0,17.0,1.35617401651924,1.100730759306336,0.0,1.662,1.0,0.0
calendar,1,100231,0.0,500,200,-10,2,,3690.0,6341.0,2060.0,0.18300598188012163,0.025183831133916083,4.9729886380467835e-05,0.00015339981716690833,0.00040823217896234735,5.234863361970825,3680.0,2651.0,1193.0,863.0,299,200,3690.0,-10.0,1.8314402921365351,1.848647494452209,0.0,1.0,1.0,0.0
event_time,1,100231,0.0,500,200,-10,2,12.0,3690.0,9125.0,3226.0,0.028936160808371636,0.036114461265544386,7.784815929074962e-06,2.2379088018848907e-05,0.00019673860118156434,0.7837743351669074,3717.0,3636.0,1293.0,1308.0,202,200,3690.0,27.0,1.03295663173674,1.238867283556142,0.0,1.706,1.0,0.0
calendar,2,200231,0.0,500,200,-10,2,,3596.0,6103.0,2018.0,0.14676527035505882,0.03234702172899637,4.098443740716527e-05,0.00012619541733023114,0.00037072209163423924,3.1764277242363295,3581.0,2507.0,1163.0,850.0,299,200,3596.0,-15.0,1.7219243359443182,1.463371044823905,0.0,1.0,1.0,0.0
event_time,2,200231,0.0,500,200,-10,2,12.0,3596.0,10068.0,3205.0,0.20757100072136733,0.05398707644730406,5.746705446327999e-05,0.00018288193896155713,0.0005648509212221597,3.8746321880729258,3612.0,3640.0,1135.0,1180.0,181,181,3596.0,16.0,1.9179524482436099,1.5282308835418617,0.0,1.532,1.0,0.0
calendar,3,300231,0.0,500,200,-10,2,,3558.0,5975.0,2028.0,0.07917113483853801,0.02289963761421818,2.232688517725268e-05,6.749457360489174e-05,0.00027369460757989563,2.3565471509531424,3546.0,2417.0,1173.0,851.0,299,200,3558.0,-12.0,1.7568472549129983,1.6459817949021431,0.0,1.0,1.0,0.0
event_time,3,300231,0.0,500,200,-10,2,12.0,3558.0,9742.0,3121.0,0.08204452637782202,0.038592061378870245,2.3052690749598767e-05,7.247749680019613e-05,0.0003548661741108256,2.1390844376986338,3559.0,3581.0,1132.0,1213.0,184,187,3558.0,1.0,1.8858246502323512,2.3599970633099825,0.0,1.602,1.0,0.0
calendar,4,400231,0.0,500,200,-10,2,,4141.0,6596.0,2191.0,0.10040094995619472,0.026960637058832282,2.434552617754479e-05,7.764961326851873e-05,0.0002855375799347953,2.2168712554169225,4124.0,2455.0,1293.0,894.0,299,200,4141.0,-17.0,2.045400021701843,1.829039587226834,0.0,1.0,1.0,0.0
event_time,4,400231,0.0,500,200,-10,2,14.0,4141.0,10547.0,3651.0,0.18240323831873123,0.015975978602536536,4.386802268367754e-05,0.00013945201706325018,0.0004792387968692032,11.373406748197105,4158.0,4142.0,1308.0,1532.0,192,199,4141.0,17.0,3.360918486186714,3.9078303289982417,0.0,1.786,1.0,0.0
calendar,5,500231,0.0,500,200,-10,2,,4025.0,6981.0,2071.0,0.5866029272854687,0.09464557199219284,0.000146102846148311,0.0004820073354851838,0.0006999315643011416,4.563129480177072,4015.0,2956.0,1217.0,852.0,299,200,4025.0,-10.0,1.5176053670063603,1.7894632179527359,0.0,1.0,1.0,0.0
event_time,5,500231,0.0,500,200,-10,2,13.0,4025.0,9843.0,3300.0,0.049388124949350465,0.12666147369195227,1.225511785343684e-05,3.441681181139405e-05,0.00024328250238390593,0.39030924246539717,4030.0,4034.0,1435.0,1252.0,208,197,4025.0,5.0,0.5888141920445279,0.49425711103586295,0.0,1.72,1.0,0.0
