run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
0,20320,0.2,0,300,2,100,500,200,-10,4.528022853259555,4.472792530714041,0.11281070745697895,45,0.8866666666666667,0.2717203603772902,0.15799827806658617,0.957047601366694,0.6153846153846154
1,1020320,0.2,0,300,2,100,500,200,-10,3.4674188928189937,3.681606064054851,0.3472222222222222,22,1.0,0.45334593210649116,0.17361147911046756,0.9679537238885478,0.5719063545150501
2,2020320,0.2,0,300,2,100,500,200,-10,1.8406947759802315,1.915542685901254,0.2558795860771402,11,1.0,0.21665286234181555,0.143561626106598,0.9576064521328848,0.12374581939799331
3,3020320,0.2,0,300,2,100,500,200,-10,3.0878080548449844,2.3783842189232227,0.3025291828793774,12,1.0,0.15282435614779247,0.10564184785218887,0.9354231304666202,0.4882943143812709
4,4020320,0.2,0,300,2,100,500,200,-10,1.3630262142581668,1.4638918792276572,0.24662813102119455,2,1.0,0.4144717752342276,0.16089655834766964,0.9626691042748304,0.411371237458194
5,5020320,0.2,0,300,2,100,500,200,-10,1.6508073509105645,2.016197821859893,0.13209606986899558,11,1.0,0.20413596789963423,0.11266157950202563,0.9420882439425474,0.19063545150501673
6,6020320,0.2,0,300,2,100,500,200,-10,2.766442071863619,2.4308605655879956,0.09282296650717706,5,1.0,0.18634630895926738,-0.001016291659055722,0.9477411249400511,0.7658862876254181
7,7020320,0.2,0,300,2,100,500,200,-10,0.3032234681826667,0.5028779001856124,0.10721247563352827,12,1.0,0.42880740762493086,-0.047502077631837905,0.9683580352481339,0.0
8,8020320,0.2,0,300,2,100,500,200,-10,2.866203887049209,2.6802584802719864,0.2416107382550336,20,0.9733333333333334,0.28225817472838316,0.1018568916880793,0.9758327921538011,0.6622073578595318
9,9020320,0.2,0,300,2,100,500,200,-10,3.147824762539028,2.6783430489323536,0.3168805528134254,10,1.0,0.34406190205730963,0.10172395003745358,0.9407649991979884,0.391304347826087
10,10020320,0.2,0,300,2,100,500,200,-10,0.9399592260325403,0.7330505646814763,0.17117117117117117,5,1.0,0.2667364067439523,0.09429096927074702,0.9638444226465707,0.05351170568561873
11,11020320,0.2,0,300,2,100,500,200,-10,1.2156215732482851,1.0975617127488677,0.4698544698544699,6,1.0,0.4181019735555593,0.20828384354456878,0.9609125895175572,0.11036789297658862
12,12020320,0.2,0,300,2,100,500,200,-10,3.348398215044704,3.4045237977014216,0.1843687374749498,4,1.0,0.2300526621035693,0.24871908552499622,0.9794434574163347,0.6354515050167224
13,13020320,0.2,0,300,2,100,500,200,-10,3.807960447685761,3.7492903858031843,0.4538375973303671,8,1.0,0.3955805698740977,0.19767438158875922,0.9630469175133329,0.5351170568561873
14,14020320,0.2,0,300,2,100,500,200,-10,1.0563641382664146,1.272609115870403,0.11850311850311857,1,1.0,0.30602622549433955,0.028926304100520675,0.9466055922777318,0.07357859531772576
15,15020320,0.2,0,300,2,100,500,200,-10,1.9479740941092192,1.2938196515992175,0.37752161383285304,28,1.0,0.501055008504154,0.2749365352738866,0.9811541400852912,0.3377926421404682
16,16020320,0.2,0,300,2,100,500,200,-10,1.199694095651464,1.3946795909004366,0.18360995850622408,22,1.0,0.3922352211426988,0.10241941146704737,0.9619563077805025,0.0903010033444816
17,17020320,0.2,0,300,2,100,500,200,-10,1.7838674258077902,2.1500966004811435,0.16666666666666666,15,1.0,0.25508943927298977,0.29367455866058967,0.9701894868321668,0.31438127090301005
18,18020320,0.2,0,300,2,100,500,200,-10,1.4304460930806138,1.3483753344580451,0.24098671726755222,6,1.0,0.16878610135557803,0.10577775196704224,0.9507745924031727,0.18394648829431437
19,19020320,0.2,0,300,2,100,500,200,-10,3.7426017669679594,4.557638939877748,0.1175373134328359,38,0.88,0.3786132003525546,0.299689014445165,0.9756787694811625,0.7759197324414716
20,20020320,0.2,0,300,2,100,500,200,-10,1.547603246962327,1.7871050650755378,0.08585858585858586,13,1.0,0.31321782068537934,0.10177465060877888,0.9660491462260932,0.22073578595317725
21,21020320,0.2,0,300,2,100,500,200,-10,0.8555401591308336,0.922539034712912,0.18130841121495334,6,1.0,0.43578460102287103,0.2889182601653519,0.9743396367768015,0.06354515050167224
22,22020320,0.2,0,300,2,100,500,200,-10,1.1783150700621328,1.4715900463339158,0.29617117117117114,5,1.0,0.34217735859740517,0.3116196791791143,0.9473697650410303,0.21070234113712374
23,23020320,0.2,0,300,2,100,500,200,-10,3.812390556738452,4.307728528176464,0.15204081632653066,17,1.0,0.20787807377394948,-0.014232851536551143,0.9586231434670968,0.9431438127090301
24,24020320,0.2,0,300,2,100,500,200,-10,2.9063180494781995,2.365352779941662,0.28359788359788357,15,1.0,0.3982689531404392,0.27142112830828685,0.972344782354492,0.2976588628762542
