info_lag,hft_frac,baseline_mean,treatment_mean,threshold_1_3x,above_threshold,U_stat,p_value,significant,tipping_point,n_baseline,n_treatment
0,0.0,1.9307,1.9307,2.5099,False,,,False,False,30,30
0,0.1,1.9307,2.1156,2.5099,False,416.0,0.3102,False,False,30,30
0,0.2,1.9307,2.148,2.5099,False,425.0,0.35859,False,False,30,30
0,0.3,1.9307,2.0286,2.5099,False,430.0,0.38656,False,False,30,30
0,0.4,1.9307,2.082,2.5099,False,407.0,0.26489,False,False,30,30
0,0.5,1.9307,1.8434,2.5099,False,464.0,0.58487,False,False,30,30
0,0.6,1.9307,1.9362,2.5099,False,477.0,0.65784,False,False,30,30
0,0.7,1.9307,1.8837,2.5099,False,468.0,0.60777,False,False,30,30
0,0.8,1.9307,2.0554,2.5099,False,441.0,0.45,False,False,30,30
0,0.9,1.9307,1.9399,2.5099,False,470.0,0.61909,False,False,30,30
0,1.0,1.9307,2.1971,2.5099,False,378.0,0.14524,False,False,30,30
1,0.0,2.1881,2.1881,2.8445,False,,,False,False,30,30
1,0.1,2.1881,2.3582,2.8445,False,384.0,0.16643,False,False,30,30
1,0.2,2.1881,1.9627,2.8445,False,431.0,0.39223,False,False,30,30
1,0.3,2.1881,2.1823,2.8445,False,403.0,0.24589,False,False,30,30
1,0.4,2.1881,1.7279,2.8445,False,503.0,0.78552,False,False,30,30
1,0.5,2.1881,2.0047,2.8445,False,397.0,0.21882,False,False,30,30
1,0.6,2.1881,2.2789,2.8445,False,392.0,0.19763,False,False,30,30
1,0.7,2.1881,2.4397,2.8445,False,386.0,0.17391,False,False,30,30
1,0.8,2.1881,2.0509,2.8445,False,456.0,0.53828,False,False,30,30
1,0.9,2.1881,2.0013,2.8445,False,428.0,0.37529,False,False,30,30
1,1.0,2.1881,2.0307,2.8445,False,419.0,0.32602,False,False,30,30
3,0.0,2.4537,2.4537,3.1898,False,,,False,False,30,30
3,0.1,2.4537,2.1018,3.1898,False,470.0,0.61909,False,False,30,30
3,0.2,2.4537,2.2574,3.1898,False,464.0,0.58487,False,False,30,30
3,0.3,2.4537,2.2164,3.1898,False,460.0,0.56168,False,False,30,30
3,0.4,2.4537,2.0551,3.1898,False,482.0,0.68456,False,False,30,30
3,0.5,2.4537,2.1111,3.1898,False,460.0,0.56168,False,False,30,30
3,0.6,2.4537,2.1146,3.1898,False,520.0,0.85136,False,False,30,30
3,0.7,2.4537,1.9888,3.1898,False,500.0,0.77235,False,False,30,30
3,0.8,2.4537,1.9185,3.1898,False,504.0,0.78981,False,False,30,30
3,0.9,2.4537,2.0598,3.1898,False,478.0,0.66325,False,False,30,30
3,1.0,2.4537,2.4242,3.1898,False,435.0,0.41513,False,False,30,30
5,0.0,2.2016,2.2016,2.8621,False,,,False,False,30,30
5,0.1,2.2016,2.2235,2.8621,False,430.0,0.38656,False,False,30,30
5,0.2,2.2016,2.1876,2.8621,False,449.0,0.49705,False,False,30,30
5,0.3,2.2016,2.0297,2.8621,False,499.0,0.76786,False,False,30,30
5,0.4,2.2016,1.9841,2.8621,False,508.0,0.80645,False,False,30,30
5,0.5,2.2016,2.3596,2.8621,False,415.0,0.305,False,False,30,30
5,0.6,2.2016,2.1295,2.8621,False,508.0,0.80645,False,False,30,30
5,0.7,2.2016,2.4367,2.8621,False,436.0,0.4209,False,False,30,30
5,0.8,2.2016,2.4304,2.8621,False,438.0,0.4325,False,False,30,30
5,0.9,2.2016,2.0791,2.8621,False,509.0,0.81048,False,False,30,30
5,1.0,2.2016,2.0116,2.8621,False,499.0,0.76786,False,False,30,30
10,0.0,2.5352,2.5352,3.2958,False,,,False,False,30,30
10,0.1,2.5352,2.1142,3.2958,False,518.0,0.84441,False,False,30,30
10,0.2,2.5352,2.1487,3.2958,False,496.0,0.75411,False,False,30,30
10,0.3,2.5352,2.5524,3.2958,False,392.0,0.19763,False,False,30,30
10,0.4,2.5352,2.2195,3.2958,False,519.0,0.84791,False,False,30,30
10,0.5,2.5352,2.5164,3.2958,False,490.0,0.72534,False,False,30,30
10,0.6,2.5352,2.453,3.2958,False,442.0,0.45585,False,False,30,30
10,0.7,2.5352,1.9637,3.2958,False,575.0,0.96823,False,False,30,30
10,0.8,2.5352,2.3364,3.2958,False,500.0,0.77235,False,False,30,30
10,0.9,2.5352,2.1346,3.2958,False,491.0,0.73024,False,False,30,30
10,1.0,2.5352,1.8421,3.2958,False,589.0,0.98042,False,False,30,30
