shock_dp,fast_share,run,crisis_share,mm_panic_ratio
-1,0.0,0,0.7586206896551724,1.0
-1,0.0,1,0.8620689655172413,0.78
-1,0.0,2,0.8620689655172413,0.7166666666666667
-1,0.0,3,0.8275862068965517,1.0
-1,0.0,4,0.8620689655172413,1.0
-1,0.2,0,0.7586206896551724,1.0
-1,0.2,1,0.7931034482758621,0.79
-1,0.2,2,0.6896551724137931,1.0
-1,0.2,3,0.7586206896551724,0.0
-1,0.2,4,0.8620689655172413,1.0
-1,0.4,0,0.6206896551724138,1.0
-1,0.4,1,0.8275862068965517,1.0
-1,0.4,2,0.8275862068965517,1.0
-1,0.4,3,0.8620689655172413,1.0
-1,0.4,4,0.8275862068965517,1.0
-1,0.6,0,0.7586206896551724,1.0
-1,0.6,1,0.896551724137931,1.0
-1,0.6,2,0.8275862068965517,0.89
-1,0.6,3,0.8275862068965517,1.0
-1,0.6,4,0.7586206896551724,1.0
-1,0.8,0,0.7586206896551724,1.0
-1,0.8,1,0.7931034482758621,0.9133333333333333
-1,0.8,2,0.8275862068965517,1.0
-1,0.8,3,0.896551724137931,1.0
-1,0.8,4,0.7931034482758621,1.0
-1,1.0,0,0.7586206896551724,1.0
-1,1.0,1,0.8275862068965517,1.0
-1,1.0,2,0.8275862068965517,1.0
-1,1.0,3,0.8620689655172413,0.5366666666666666
-1,1.0,4,0.7586206896551724,1.0
-2,0.0,0,0.7931034482758621,0.0
-2,0.0,1,0.7931034482758621,0.8966666666666666
-2,0.0,2,0.7586206896551724,0.0
-2,0.0,3,0.7241379310344828,0.9966666666666667
-2,0.0,4,0.6896551724137931,1.0
-2,0.2,0,0.896551724137931,0.5433333333333333
-2,0.2,1,0.896551724137931,1.0
-2,0.2,2,0.7586206896551724,0.5933333333333334
-2,0.2,3,0.896551724137931,1.0
-2,0.2,4,0.7241379310344828,1.0
-2,0.4,0,0.7931034482758621,1.0
-2,0.4,1,0.8275862068965517,1.0
-2,0.4,2,0.9655172413793104,1.0
-2,0.4,3,0.7931034482758621,0.6933333333333334
-2,0.4,4,0.8275862068965517,1.0
-2,0.6,0,0.8275862068965517,0.48333333333333334
-2,0.6,1,0.8620689655172413,1.0
-2,0.6,2,0.8275862068965517,1.0
-2,0.6,3,0.8620689655172413,1.0
-2,0.6,4,0.9310344827586207,1.0
-2,0.8,0,0.8620689655172413,1.0
-2,0.8,1,0.7931034482758621,1.0
-2,0.8,2,0.8275862068965517,1.0
-2,0.8,3,0.8275862068965517,1.0
-2,0.8,4,0.6551724137931034,0.4633333333333333
-2,1.0,0,0.8620689655172413,1.0
-2,1.0,1,0.8275862068965517,1.0
-2,1.0,2,0.8275862068965517,1.0
-2,1.0,3,0.7241379310344828,1.0
-2,1.0,4,0.8275862068965517,1.0
-3,0.0,0,0.896551724137931,0.0
-3,0.0,1,0.8275862068965517,1.0
-3,0.0,2,0.7931034482758621,1.0
-3,0.0,3,0.7586206896551724,1.0
-3,0.0,4,0.8275862068965517,1.0
-3,0.2,0,0.7931034482758621,1.0
-3,0.2,1,0.896551724137931,0.26
-3,0.2,2,0.7241379310344828,0.0
-3,0.2,3,0.7931034482758621,1.0
-3,0.2,4,0.8620689655172413,0.87
-3,0.4,0,0.9310344827586207,1.0
-3,0.4,1,0.896551724137931,1.0
-3,0.4,2,0.7586206896551724,1.0
-3,0.4,3,0.8275862068965517,0.9966666666666667
-3,0.4,4,0.7931034482758621,1.0
-3,0.6,0,0.8275862068965517,1.0
-3,0.6,1,0.7586206896551724,0.9966666666666667
-3,0.6,2,0.7586206896551724,0.8066666666666666
-3,0.6,3,0.8620689655172413,1.0
-3,0.6,4,0.8620689655172413,1.0
-3,0.8,0,0.896551724137931,1.0
-3,0.8,1,0.7586206896551724,1.0
-3,0.8,2,0.6551724137931034,1.0
-3,0.8,3,0.9310344827586207,0.94
-3,0.8,4,0.7586206896551724,1.0
-3,1.0,0,0.9310344827586207,1.0
-3,1.0,1,0.8275862068965517,1.0
-3,1.0,2,0.8275862068965517,1.0
-3,1.0,3,0.7586206896551724,1.0
-3,1.0,4,0.7241379310344828,1.0
-5,0.0,0,0.8620689655172413,1.0
-5,0.0,1,0.7586206896551724,0.7666666666666667
-5,0.0,2,0.8275862068965517,1.0
-5,0.0,3,0.7931034482758621,1.0
-5,0.0,4,0.896551724137931,1.0
-5,0.2,0,0.896551724137931,1.0
-5,0.2,1,0.9310344827586207,1.0
-5,0.2,2,0.8620689655172413,1.0
-5,0.2,3,0.6896551724137931,0.0
-5,0.2,4,0.6896551724137931,0.8333333333333334
-5,0.4,0,0.7241379310344828,0.9766666666666667
-5,0.4,1,0.7931034482758621,1.0
-5,0.4,2,0.8620689655172413,1.0
-5,0.4,3,0.8275862068965517,1.0
-5,0.4,4,0.8620689655172413,1.0
-5,0.6,0,0.7931034482758621,1.0
-5,0.6,1,0.8275862068965517,1.0
-5,0.6,2,0.8275862068965517,1.0
-5,0.6,3,0.7586206896551724,0.6233333333333333
-5,0.6,4,0.8275862068965517,0.7966666666666666
-5,0.8,0,0.896551724137931,1.0
-5,0.8,1,0.8275862068965517,1.0
-5,0.8,2,0.8620689655172413,0.53
-5,0.8,3,0.7586206896551724,0.99
-5,0.8,4,0.7931034482758621,1.0
-5,1.0,0,0.8620689655172413,1.0
-5,1.0,1,0.8275862068965517,0.9666666666666667
-5,1.0,2,0.9310344827586207,1.0
-5,1.0,3,0.8275862068965517,0.6633333333333333
-5,1.0,4,0.7931034482758621,1.0
-7,0.0,0,0.8275862068965517,1.0
-7,0.0,1,0.7586206896551724,1.0
-7,0.0,2,0.8275862068965517,0.5466666666666666
-7,0.0,3,0.9310344827586207,1.0
-7,0.0,4,0.9310344827586207,1.0
-7,0.2,0,0.8620689655172413,1.0
-7,0.2,1,0.6896551724137931,1.0
-7,0.2,2,0.7931034482758621,1.0
-7,0.2,3,0.8620689655172413,1.0
-7,0.2,4,0.896551724137931,1.0
-7,0.4,0,0.7586206896551724,1.0
-7,0.4,1,0.8620689655172413,1.0
-7,0.4,2,0.8620689655172413,1.0
-7,0.4,3,0.8620689655172413,1.0
-7,0.4,4,0.8275862068965517,1.0
-7,0.6,0,0.8620689655172413,0.9766666666666667
-7,0.6,1,0.6551724137931034,1.0
-7,0.6,2,0.7586206896551724,0.49333333333333335
-7,0.6,3,0.7931034482758621,1.0
-7,0.6,4,0.8275862068965517,1.0
-7,0.8,0,0.7931034482758621,1.0
-7,0.8,1,0.896551724137931,1.0
-7,0.8,2,0.8620689655172413,1.0
-7,0.8,3,0.8275862068965517,0.9933333333333333
-7,0.8,4,0.7931034482758621,1.0
-7,1.0,0,0.7931034482758621,1.0
-7,1.0,1,0.896551724137931,1.0
-7,1.0,2,0.896551724137931,1.0
-7,1.0,3,0.7586206896551724,0.0
-7,1.0,4,0.6896551724137931,1.0
-10,0.0,0,0.7931034482758621,0.92
-10,0.0,1,0.7241379310344828,0.81
-10,0.0,2,0.7931034482758621,1.0
-10,0.0,3,0.8620689655172413,1.0
-10,0.0,4,0.7931034482758621,1.0
