mode,run,seed,hft_frac,n_ticks,shock_tick,shock_dp,speed_multiplier,vstar_postshock,calendar_post_volume,total_executed_volume,total_executed_trades,post_rv,pre_rv,post_rv_per_volume,post_rv_per_trade,post_vol_per_sqrt_volume,equal_volume_vol_ratio,post_window_volume,pre_window_volume,post_window_trades,pre_window_trades,post_window_ticks,pre_window_ticks,target_post_volume,post_volume_error,calendar_style_vol_ratio,spread_ratio,mm_stress_ratio,avg_sub_iters,threshold_hit_rate,book_depleted_rate
calendar,0,231,0.0,500,200,-10,2,,3746.0,6441.0,2144.0,0.0833103555092693,0.0254146902674151,2.2329229565604227e-05,6.453164640532096e-05,0.0002737337073195,2.367814309946507,3731.0,2695.0,1291.0,848.0,299,200,3746.0,-15.0,1.3823450696972532,1.2749193328832191,1.0,1.0,1.0,0.0
event_time,0,231,0.0,500,200,-10,2,12.0,3746.0,9567.0,3169.0,0.0348730441640788,0.0392294772910026,9.294521365692653e-06,2.72232975519741e-05,0.0002150029749016,0.8917930464442327,3752.0,3764.0,1281.0,1228.0,202,186,3746.0,6.0,1.0139213993686276,1.072675193896413,1.0,1.594,1.0,0.0
calendar,1,100231,0.0,500,200,-10,2,,4296.0,7422.0,2203.0,0.2684875631317555,0.0297035664506694,6.276006618320605e-05,0.0002074865248313,0.0004589130389548,6.604861627230059,4278.0,3126.0,1294.0,904.0,299,200,4296.0,-18.0,2.3365887061755,2.031566534194813,1.0,1.0,1.0,0.0
event_time,1,100231,0.0,500,200,-10,2,14.0,4296.0,11342.0,3747.0,0.2562338480799572,0.021355226914776,5.956156394234245e-05,0.000183680177835,0.0005495356777313,11.9819109505677,4302.0,4296.0,1395.0,1335.0,198,172,4296.0,6.0,2.654041140659889,3.448241894921974,1.0,1.79,1.0,0.0
calendar,2,200231,0.0,500,200,-10,2,,3873.0,6555.0,2118.0,0.2012437462022824,0.0253195761917302,5.212218238857353e-05,0.0001619016461804,0.0004178560890229,5.521090767871802,3861.0,2682.0,1243.0,868.0,299,200,3873.0,-12.0,2.402852776139649,2.240164084099798,1.0,1.0,1.0,0.0
event_time,2,200231,0.0,500,200,-10,2,13.0,3873.0,10588.0,3318.0,0.3369217273108614,0.1144649144480578,8.676840775453553e-05,0.0002757133611381,0.0006827080070646,2.9548202044284064,3883.0,3898.0,1222.0,1160.0,187,175,3873.0,10.0,1.8215161389036847,1.4913175738718694,1.0,1.66,1.0,0.0
calendar,3,300231,0.0,500,200,-10,2,,4213.0,6909.0,2196.0,0.1955802784175618,0.0196920519198986,4.6611124503708726e-05,0.0001559651343042,0.0003954781731464,6.381436275346434,4196.0,2696.0,1254.0,938.0,299,200,4213.0,-17.0,2.9378299865842874,3.3761436325577403,0.91,1.0,1.0,0.0
event_time,3,300231,0.0,500,200,-10,2,14.0,4213.0,10505.0,3527.0,0.0973845148735948,0.0641330074203836,2.2984308443142516e-05,7.187049068161981e-05,0.0003423823518473,1.5109510987211308,4237.0,4216.0,1355.0,1451.0,197,198,4213.0,24.0,1.1499379719711589,1.208174412303944,1.0,1.868,1.0,0.0
calendar,4,400231,0.0,500,200,-10,2,,3642.0,7089.0,2268.0,0.0727130360990246,0.0143077581911664,2.0014598430780253e-05,5.999425420711605e-05,0.000259001040346,4.8218807760163775,3633.0,3447.0,1212.0,1052.0,299,200,3642.0,-9.0,3.2814508084382252,3.3947045857334124,0.9766666666666668,1.0,1.0,0.0
event_time,4,400231,0.0,500,200,-10,2,12.0,3642.0,9502.0,3280.0,0.0297186657584408,0.0239169255232685,8.137641226298139e-06,2.3870414263807875e-05,0.0002082493339623,1.2425786580148237,3652.0,3652.0,1245.0,1249.0,188,191,3642.0,10.0,1.2937255034298596,1.3457287300226737,1.0,1.616,1.0,0.0
calendar,5,500231,0.0,500,200,-10,2,,3980.0,6986.0,2084.0,0.2629384404196506,0.0275138738500099,6.639859606556835e-05,0.0002192981154459,0.000471866924986,7.254309555052775,3960.0,3006.0,1199.0,880.0,299,200,3980.0,-20.0,2.558205030539318,3.042751317020082,1.0,1.0,1.0,0.0
event_time,5,500231,0.0,500,200,-10,2,13.0,3980.0,10630.0,3252.0,0.0325242720649472,0.1143593048857265,8.151446632818852e-06,2.276016239674403e-05,0.0001959949983179,0.2857585435485062,3990.0,4009.0,1429.0,1070.0,213,173,3980.0,10.0,0.6082340218503409,0.8355311273258206,1.0,1.682,1.0,0.0
calendar,6,600231,0.0,500,200,-10,2,,3450.0,6001.0,2054.0,0.0223725454059524,0.050449669408051,6.513113655299119e-06,1.878467288493071e-05,0.0001474093408461,0.3293371847522434,3435.0,2551.0,1191.0,859.0,299,200,3450.0,-15.0,0.7406121472463006,0.7759749289068353,1.0,1.0,1.0,0.0
event_time,6,600231,0.0,500,200,-10,2,12.0,3450.0,9224.0,3217.0,0.0487431522686618,0.0277189996253417,1.4091689005106046e-05,4.238534979883636e-05,0.000279764714109,1.7584742178623485,3459.0,3459.0,1150.0,1236.0,181,190,3450.0,9.0,1.3139609501683585,1.1404924790899331,1.0,1.66,1.0,0.0
calendar,7,700231,0.0,500,200,-10,2,,3508.0,6556.0,2018.0,0.0671344489468668,0.0467486351037332,1.917579232986771e-05,5.787452495419556e-05,0.0002534378641031,1.250257062713382,3501.0,3048.0,1160.0,854.0,299,200,3508.0,-7.0,1.1305597835121168,1.026513917284363,1.0,1.0,1.0,0.0
event_time,7,700231,0.0,500,200,-10,2,12.0,3508.0,9940.0,3317.0,0.0463348047743041,0.0101387457345263,1.3204561064207502e-05,3.845212014465072e-05,0.0002645848977061,4.618259337334043,3509.0,3546.0,1205.0,1278.0,189,177,3508.0,1.0,4.075290832110944,4.605592105548218,1.0,1.548,1.0,0.0
calendar,8,800231,0.0,500,200,-10,2,,3451.0,5700.0,1992.0,0.0489859139015988,0.023021808816289,1.4264972015608274e-05,4.130346871972919e-05,0.0002187583913496,1.3935446682330863,3434.0,2249.0,1186.0,802.0,299,200,3451.0,-17.0,1.2766300609817285,1.3143884375352737,1.0,1.0,1.0,0.0
event_time,8,800231,0.0,500,200,-10,2,12.0,3451.0,9721.0,3291.0,0.152052667194112,0.0590235321578403,4.3756163221327214e-05,0.0001300707161626,0.0004876525535225,2.5590855220614612,3475.0,3452.0,1169.0,1180.0,185,177,3451.0,24.0,1.713624819467725,1.6616438032061112,1.0,1.632,1.0,0.0
calendar,9,900231,0.0,500,200,-10,2,,4403.0,7519.0,2265.0,0.5064263245631341,0.0170499891452983,0.000115332799946,0.000389858602435,0.0006218371737143,21.077839750558624,4391.0,3116.0,1299.0,963.0,299,200,4403.0,-12.0,4.283833131996946,5.687121483738769,0.9133333333333332,1.0,1.0,0.0
event_time,9,900231,0.0,500,200,-10,2,15.0,4403.0,10969.0,3892.0,0.0164942485480365,0.0407121062001897,3.7410407230747425e-06,9.906455584406327e-06,0.0001343656236372,0.4055110988419317,4409.0,4413.0,1665.0,1518.0,207,198,4403.0,6.0,0.9107088626833196,1.0191789941403535,1.0,1.968,1.0,0.0
calendar,10,1000231,0.0,500,200,-10,2,,3628.0,5810.0,2096.0,0.0275203518082967,0.0213108785821188,7.608612609426813e-06,2.130058189496655e-05,0.0001592194515714,0.7790383183843862,3617.0,2182.0,1292.0,799.0,299,200,3628.0,-11.0,1.4440990009633137,0.9784884870418076,1.0,1.0,1.0,0.0
event_time,10,1000231,0.0,500,200,-10,2,12.0,3628.0,9828.0,3240.0,0.2101747587180374,0.0300093443930898,5.772445996101e-05,0.0001794831415183,0.0005628951663816,6.99017810413433,3641.0,3634.0,1171.0,1208.0,183,178,3628.0,13.0,2.231045962522431,2.373255715068449,1.0,1.602,1.0,0.0
calendar,11,1100231,0.0,500,200,-10,2,,4019.0,6734.0,2168.0,0.2855758484714128,0.0324951218120321,7.137611808833112e-05,0.00022773193658,0.0004893173736745,5.9635457143305235,4001.0,2715.0,1254.0,904.0,299,200,4019.0,-18.0,3.194726269334832,2.5341128340516623,1.0,1.0,1.0,0.0
event_time,11,1100231,0.0,500,200,-10,2,13.0,4019.0,10745.0,3487.0,0.1578142739981312,0.0187484067717682,3.910165361698e-05,0.0001137810194651,0.0004420252523414,8.386190751406176,4036.0,4021.0,1387.0,1212.0,201,167,4019.0,17.0,2.524524876879599,2.9910857562818434,1.0,1.652,1.0,0.0
calendar,12,1200231,0.0,500,200,-10,2,,4395.0,6848.0,2091.0,1.079743665274338,0.027908971440761,0.0002464043051744,0.0008461940950425,0.0009085088524822,21.657183201851325,4382.0,2453.0,1276.0,811.0,299,200,4395.0,-13.0,5.105041296648556,5.228912259953295,1.0,1.0,1.0,0.0
event_time,12,1200231,0.0,500,200,-10,2,15.0,4395.0,11995.0,3784.0,0.0595237244633244,0.018065271106088,1.3488267496787769e-05,3.898082807028449e-05,0.0002538387499928,3.2859651229825855,4413.0,4401.0,1527.0,1274.0,210,158,4395.0,18.0,2.1069524643354662,4.162890746121695,1.0,1.802,1.0,0.0
calendar,13,1300231,0.0,500,200,-10,2,,4306.0,6858.0,2224.0,0.060703561592651,0.0186712073315857,1.4126963368082624e-05,4.605733049518288e-05,0.0002176534767881,1.930887753933979,4297.0,2552.0,1318.0,903.0,299,200,4306.0,-9.0,2.094487154998309,2.738207260269494,0.21,1.0,1.0,0.0
event_time,13,1300231,0.0,500,200,-10,2,14.0,4306.0,10868.0,3439.0,0.1022970470801279,0.0458628836139686,2.3690839990766087e-05,7.483324585232477e-05,0.0003441460952042,2.2253317072807524,4318.0,4308.0,1367.0,1370.0,201,195,4306.0,12.0,1.34913909903829,1.3199087155232123,1.0,1.708,1.0,0.0
calendar,14,1400231,0.0,500,200,-10,2,,3579.0,6910.0,2083.0,0.1910334862972907,0.0331024178928353,5.357080378499461e-05,0.0001662606495189,0.0004238719575146,5.390673576449094,3566.0,3331.0,1149.0,930.0,299,200,3579.0,-13.0,2.6653302308416755,3.03427138161584,1.0,1.0,1.0,0.0
event_time,14,1400231,0.0,500,200,-10,2,12.0,3579.0,9841.0,3332.0,0.0670212981711386,0.0293629597265808,1.8642920214503103e-05,5.4845579518116737e-05,0.0003183048708923,2.279971737396028,3595.0,3591.0,1222.0,1219.0,185,179,3579.0,16.0,1.865393195198354,1.6535248470137351,1.0,1.644,1.0,0.0
calendar,15,1500231,0.0,500,200,-10,2,,3120.0,5963.0,1999.0,0.0216874972988746,0.0800254207824308,6.966751461251084e-06,1.8891548169751415e-05,0.0001525329371297,0.2475022749900525,3113.0,2843.0,1148.0,849.0,299,200,3120.0,-7.0,0.5688666524701915,0.4262849460867798,1.0,1.0,1.0,0.0
event_time,15,1500231,0.0,500,200,-10,2,10.0,3120.0,8870.0,2920.0,0.0616564139368853,0.0328263512071381,1.9723740862727253e-05,6.297897235636915e-05,0.0003337788564369,1.875856159840919,3126.0,3122.0,979.0,1112.0,178,181,3120.0,6.0,1.8165150293469363,1.6846920401006236,1.0,1.388,1.0,0.0
calendar,16,1600231,0.0,500,200,-10,2,,3730.0,6038.0,2076.0,0.0502517428056848,0.0211702736903416,1.3570548961837672e-05,4.1325446386254025e-05,0.0002133372335774,1.4794718314666702,3703.0,2308.0,1216.0,853.0,299,199,3730.0,-27.0,1.4990151518102892,1.9256458244438064,1.0,1.0,1.0,0.0
event_time,16,1600231,0.0,500,200,-10,2,12.0,3730.0,9606.0,3302.0,0.1440470641424461,0.0188448210320581,3.8577146262036994e-05,0.0001150535656089,0.0004512870898108,7.672511996137981,3734.0,3748.0,1252.0,1310.0,190,196,3730.0,4.0,1.9760095556524528,2.3353373631694017,1.0,1.616,1.0,0.0
calendar,17,1700231,0.0,500,200,-10,2,,3749.0,8117.0,2254.0,0.0912690544868391,0.022513764350991,2.4495183705539223e-05,7.493354227162491e-05,0.000286393921681,4.120290309659132,3726.0,3787.0,1218.0,884.0,299,173,3749.0,-23.0,2.7961216397171156,2.881580537406986,1.0,1.0,1.0,0.0
event_time,17,1700231,0.0,500,200,-10,2,12.0,3749.0,9950.0,3367.0,0.0557758019834139,0.0193939499951634,1.480642473677037e-05,4.257694807894197e-05,0.0002720192279673,2.8698300146029525,3767.0,3759.0,1310.0,1167.0,201,171,3749.0,18.0,2.0312089339884003,2.6712539745541166,1.0,1.572,1.0,0.0
calendar,18,1800231,0.0,500,200,-10,2,,3828.0,6645.0,2209.0,0.043098197758187,0.0167416315119247,1.128225072203849e-05,3.374956754752312e-05,0.0001943343372136,1.898386959095872,3820.0,2817.0,1277.0,930.0,299,200,3828.0,-8.0,2.5268532131033994,2.224413737242061,0.9733333333333334,1.0,1.0,0.0
