mode,regime,volume_threshold,hft_frac,run,seed,n_iter,shock_it,shock_dp,speed_multiplier,info_lag,softlimit,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,avg_sub_iters,max_sub_iters_observed,threshold_hit_rate,executed_volume_total,book_depleted_rate,calendar_volume_per_tick_target,vstar_to_calendar_tick_ratio
calendar,calendar,,0.0,0,2,500,200,-10,2,0,100,1.5010358456398047,1.4337248464350647,0.1508196721311475,12,1.0,1.0,1,1.0,6296,0.0,12.914933333333332,
calendar,calendar,,0.0,1,10002,500,200,-10,2,0,100,1.5346953760537592,1.7742687009130307,0.22967863894139884,51,1.0,1.0,1,1.0,6633,0.0,12.914933333333332,
calendar,calendar,,0.0,2,20002,500,200,-10,2,0,100,1.0945045545485084,1.12130109786587,0.13673469387755108,4,1.0,1.0,1,1.0,5999,0.0,12.914933333333332,
calendar,calendar,,0.0,3,30002,500,200,-10,2,0,100,1.6407540235298197,1.549791301027311,0.14437984496124037,174,1.0,1.0,1,1.0,6276,0.0,12.914933333333332,
calendar,calendar,,0.0,4,40002,500,200,-10,2,0,100,1.0642317656863922,1.0891750218744354,0.0445344129554655,17,1.0,1.0,1,1.0,6255,0.0,12.914933333333332,
calendar,calendar,,0.0,5,50002,500,200,-10,2,0,100,1.3673067181804082,1.1567376039461184,0.1071428571428571,38,1.0,1.0,1,1.0,6810,0.0,12.914933333333332,
calendar,calendar,,0.0,6,60002,500,200,-10,2,0,100,1.7682480790374233,1.92381024740197,0.22830188679245286,175,1.0,1.0,1,1.0,6568,0.0,12.914933333333332,
calendar,calendar,,0.0,7,70002,500,200,-10,2,0,100,1.9047191328696542,1.5450922005432768,0.11887382690302403,13,1.0,1.0,1,1.0,6308,0.0,12.914933333333332,
calendar,calendar,,0.0,8,80002,500,200,-10,2,0,100,2.9815976631882632,2.4643049863485325,0.17002012072434614,41,1.0,1.0,1,1.0,7139,0.0,12.914933333333332,
calendar,calendar,,0.0,9,90002,500,200,-10,2,0,100,1.1985915131980096,1.0901897117127934,0.123721881390593,8,1.0,1.0,1,1.0,6362,0.0,12.914933333333332,
calendar,calendar,,0.0,10,100002,500,200,-10,2,0,100,2.2533682072728447,1.84038035026979,0.0911627906976744,15,0.9866666666666667,1.0,1,1.0,6159,0.0,12.914933333333332,
calendar,calendar,,0.0,11,110002,500,200,-10,2,0,100,1.6997801007395184,1.656133152808734,0.08283433133732532,4,1.0,1.0,1,1.0,6715,0.0,12.914933333333332,
calendar,calendar,,0.0,12,120002,500,200,-10,2,0,100,2.3285436847336594,2.2322069794688275,0.1826722338204593,4,1.0,1.0,1,1.0,5804,0.0,12.914933333333332,
calendar,calendar,,0.0,13,130002,500,200,-10,2,0,100,2.737638723284853,2.198531651113911,0.14460285132382894,14,1.0,1.0,1,1.0,6295,0.0,12.914933333333332,
calendar,calendar,,0.0,14,140002,500,200,-10,2,0,100,2.4801465401358236,2.9250987131855504,0.14647887323943656,25,1.0,1.0,1,1.0,6351,0.0,12.914933333333332,
calendar,calendar,,0.0,15,150002,500,200,-10,2,0,100,1.6098698060524967,1.460374939436669,0.1657866948257656,23,1.0,1.0,1,1.0,6094,0.0,12.914933333333332,
calendar,calendar,,0.0,16,160002,500,200,-10,2,0,100,1.0634256095217678,1.0856539520654707,0.21037998146431883,300,1.0,1.0,1,1.0,6062,0.0,12.914933333333332,
calendar,calendar,,0.0,17,170002,500,200,-10,2,0,100,2.0126915880471694,2.977785241566906,0.11368421052631576,57,0.9066666666666666,1.0,1,1.0,7794,0.0,12.914933333333332,
calendar,calendar,,0.0,18,180002,500,200,-10,2,0,100,1.3922609683058955,1.4279863676514248,0.09674234945705822,19,1.0,1.0,1,1.0,6110,0.0,12.914933333333332,
calendar,calendar,,0.0,19,190002,500,200,-10,2,0,100,2.0889485438689452,2.376048845356516,0.22178988326848248,37,1.0,1.0,1,1.0,6448,0.0,12.914933333333332,
calendar,calendar,,0.0,20,200002,500,200,-10,2,0,100,1.4067770644109514,0.9781934070404568,0.09226467847157495,19,1.0,1.0,1,1.0,6279,0.0,12.914933333333332,
calendar,calendar,,0.0,21,210002,500,200,-10,2,0,100,1.5445592995902662,1.7418880669703354,0.1559734513274337,28,1.0,1.0,1,1.0,5960,0.0,12.914933333333332,
calendar,calendar,,0.0,22,220002,500,200,-10,2,0,100,1.2348360355605854,1.8403291212238808,0.10224948875255624,20,0.0,1.0,1,1.0,9566,0.0,12.914933333333332,
calendar,calendar,,0.0,23,230002,500,200,-10,2,0,100,1.594005682511141,1.3224455057999345,0.10079051383399212,9,1.0,1.0,1,1.0,5640,0.0,12.914933333333332,
calendar,calendar,,0.0,24,240002,500,200,-10,2,0,100,1.1378244915126372,0.8351085471662828,0.08462867012089807,16,1.0,1.0,1,1.0,6385,0.0,12.914933333333332,
