regime,hft_frac,baseline_mean,treatment_mean,u_stat,p_value,significant_0_05
calendar,0.1,1.7459916904523225,2.2236635815994226,584.0,0.024206749732406815,True
calendar,0.2,1.7459916904523225,2.540604806752053,644.0,0.002112958865689309,True
calendar,0.3,1.7459916904523225,2.4414296289307487,543.0,0.08572502372985508,False
calendar,0.4,1.7459916904523225,3.392499547434251,738.0,1.0663629593593407e-05,True
calendar,0.5,1.7459916904523225,3.141568264330614,677.0,0.0004059987875843483,True
calendar,0.6,1.7459916904523225,2.9703836340549183,625.0,0.004941700645842906,True
calendar,0.7,1.7459916904523225,2.6469326215060116,614.0,0.007819059762845396,True
calendar,0.8,1.7459916904523225,2.960383096473102,620.0,0.006105969832601181,True
calendar,0.9,1.7459916904523225,2.930049007425342,633.0,0.003486220747285127,True
calendar,1.0,1.7459916904523225,2.9329517783707715,647.0,0.0018354466962253269,True
event_time_V13,0.1,1.9711896431234306,2.03146222343802,445.0,0.5324040148803304,False
event_time_V13,0.2,1.9711896431234306,2.663027517508197,574.0,0.03393443040972162,True
event_time_V13,0.3,1.9711896431234306,2.6994157991891967,547.0,0.07683361774254495,False
event_time_V13,0.4,1.9711896431234306,2.6286052266363096,582.0,0.025938565526979523,True
event_time_V13,0.5,1.9711896431234306,3.366172018583888,625.0,0.004941700645842906,True
event_time_V13,0.6,1.9711896431234306,2.3172533065125296,427.0,0.6358673520022265,False
event_time_V13,0.7,1.9711896431234306,2.307662321688474,511.0,0.18553851606325716,False
event_time_V13,0.8,1.9711896431234306,3.850827759386176,678.0,0.0003848644349161928,True
event_time_V13,0.9,1.9711896431234306,3.179700645060665,672.0,0.00052877715923912,True
event_time_V13,1.0,1.9711896431234306,3.0628022906931966,626.0,0.0047341348543076325,True
event_time_V19,0.1,2.059919883116977,1.9921940308412895,429.0,0.6247063842388468,False
event_time_V19,0.2,2.059919883116977,2.2376071266807527,455.0,0.4734779711127971,False
event_time_V19,0.3,2.059919883116977,2.409727508512634,524.0,0.13859459488652393,False
event_time_V19,0.4,2.059919883116977,2.3548876330183446,478.0,0.3421612933812247,False
event_time_V19,0.5,2.059919883116977,2.2563368489723974,489.0,0.2846100818707647,False
event_time_V19,0.6,2.059919883116977,2.660445675496148,544.0,0.08343308523162984,False
event_time_V19,0.7,2.059919883116977,2.634565090758392,514.0,0.1739138914879057,False
event_time_V19,0.8,2.059919883116977,3.0381429841201735,560.0,0.05273497326088889,False
event_time_V19,0.9,2.059919883116977,3.257675464558717,616.0,0.007206091674937933,True
event_time_V19,1.0,2.059919883116977,3.098854923469494,587.0,0.021791773887909156,True
event_time_V6,0.1,2.443794116686824,2.204544727786709,415.0,0.7001552577438148,False
event_time_V6,0.2,2.443794116686824,2.926200221473791,481.0,0.32602181120031787,False
event_time_V6,0.3,2.443794116686824,2.337976226175582,394.0,0.7982312304229571,False
event_time_V6,0.4,2.443794116686824,2.9048115354239417,513.0,0.17773623629715535,False
event_time_V6,0.5,2.443794116686824,2.38286270120256,447.0,0.5206342545932782,False
event_time_V6,0.6,2.443794116686824,3.2369576226017975,530.0,0.11992499559553982,False
event_time_V6,0.7,2.443794116686824,2.9035620017020145,520.0,0.15208840900985182,False
event_time_V6,0.8,2.443794116686824,2.5490860238730173,465.0,0.41512764195559815,False
event_time_V6,0.9,2.443794116686824,3.3573864936716173,528.0,0.12594041233095615,False
event_time_V6,1.0,2.443794116686824,3.1445168120844484,551.0,0.06866141742349646,False
