mode,run,seed,hft_frac,speed_mult,info_lag,book_volume,softlimit,n_ticks,shock_tick,calendar_target_ticks,target_total_volume,target_shock_volume,total_executed_volume,post_volume,volume_match_error,volume_per_tick,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,realized_vol_per_volume,shock_triggered
calendar,0,222,0.0,2,0,1000,100,500,200,500,5794.0,2265.0,5794.0,3529.0,0.0,11.588,1.9080897137986659,1.6736709020022935,0.11485870556061994,40,0.0,0.0002789280400167263,True
event_time,0,222,0.0,2,0,1000,100,477,201,500,5794.0,2265.0,5799.0,3519.0,5.0,12.157232704402515,2.9257019530950434,2.243555879095729,0.23333333333333336,9,0.0,0.00043613063917181494,True
calendar,1,100222,0.0,2,0,1000,100,500,200,500,7695.0,3541.0,7695.0,4154.0,0.0,15.39,6.299643318873756,8.637581730205582,0.1950431034482758,22,0.0,0.0006130661932861008,True
event_time,1,100222,0.0,2,0,1000,100,559,203,500,7695.0,3541.0,7713.0,4144.0,18.0,13.797853309481216,2.6720026523780214,3.4877747497519858,0.10964912280701754,13,0.0,0.00023296674498446478,True
calendar,2,200222,0.0,2,0,1000,100,500,200,500,6249.0,2912.0,6249.0,3337.0,0.0,12.498,2.119016308216738,2.701853308445109,0.09297912713472496,18,0.0,0.00013821279578894974,True
event_time,2,200222,0.0,2,0,1000,100,491,204,500,6249.0,2912.0,6259.0,3320.0,10.0,12.74745417515275,2.711088334673788,3.1203785697730875,0.09622641509433964,10,0.0,0.0001934156370454989,True
calendar,3,300222,0.0,2,0,1000,100,500,200,500,6842.0,3245.0,6842.0,3597.0,0.0,13.684,1.938840325324847,1.7962967920198716,0.141519250780437,28,0.0,0.0003450738569816125,True
event_time,3,300222,0.0,2,0,1000,100,514,201,500,6842.0,3245.0,6851.0,3577.0,9.0,13.328793774319067,1.4491652132441066,1.3827147584808068,0.15504682622268462,90,0.0,0.00025368406589777195,True
calendar,4,400222,0.0,2,0,1000,100,500,200,500,5593.0,2206.0,5593.0,3387.0,0.0,11.186,1.5572020870974648,1.72452474042721,0.1326963906581741,34,0.0,0.00022369035257126826,True
event_time,4,400222,0.0,2,0,1000,100,498,202,500,5593.0,2206.0,5599.0,3376.0,6.0,11.242971887550201,1.9134626199159852,1.9497717576300964,0.14621131270010676,20,0.0,0.00027913776703843325,True
calendar,5,500222,0.0,2,0,1000,100,500,200,500,7040.0,3486.0,7040.0,3554.0,0.0,14.08,3.1507281351578995,3.217693721874501,0.12111801242236014,12,0.0,0.00031065870892248393,True
event_time,5,500222,0.0,2,0,1000,100,478,202,500,7040.0,3486.0,7047.0,3538.0,7.0,14.742677824267782,3.47313342047522,3.433067743617227,0.12849740932642492,14,0.0,0.0003157980387453082,True
