run,seed,hft_frac,info_lag,softlimit,speed_mult,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
0,22,0.0,0,20,2,500,200,-10,0.8090306667743381,0.7939015645333414,0.07172995780590714,6,1.0,0.4112637563775009,0.17893968270492963,0.9785722401839463,0.06354515050167224
1,100022,0.0,0,20,2,500,200,-10,1.4362957993780925,1.3331938310925573,0.09500959692898278,8,1.0,0.134401014133497,0.12180075891623288,0.9535834844990821,0.3110367892976589
2,200022,0.0,0,20,2,500,200,-10,1.4745932402742894,1.8718980897528552,0.13772455089820357,5,1.0,0.2869248842037976,0.25022294977034976,0.9698839755196232,0.30434782608695654
3,300022,0.0,0,20,2,500,200,-10,1.3781458554503523,1.0601512830576618,0.12918108419838525,9,1.0,0.3053744895722513,0.178779096799927,0.9507561102784267,0.27424749163879597
4,400022,0.0,0,20,2,500,200,-10,3.56805940848301,2.3545989684892588,0.21428571428571427,17,1.0,0.36232762383301687,0.14982014781453157,0.9604621777018988,0.4916387959866221
5,500022,0.0,0,20,2,500,200,-10,1.3723247902451052,1.8671633688422582,0.2067395264116576,38,1.0,0.2818706943547755,0.28726770311928274,0.9650956662957146,0.19732441471571907
6,600022,0.0,0,20,2,500,200,-10,0.8240775047903275,0.8694794591342454,0.09375000000000008,2,1.0,0.26177381103790615,0.09720347604676129,0.9649142632541041,0.08361204013377926
7,700022,0.0,0,20,2,500,200,-10,2.8679928753166997,3.2896251233244684,0.2265258215962441,25,1.0,0.3256356028308797,0.1994126948414201,0.965009316711419,0.5518394648829431
8,800022,0.0,0,20,2,500,200,-10,0.8728621427853247,0.9468299757228917,0.12255965292841645,12,1.0,0.18118503568693078,0.05509653401154337,0.9525143059943618,0.14381270903010032
9,900022,0.0,0,20,2,500,200,-10,1.2341362455069642,1.2292961420792068,0.18982387475538165,300,1.0,0.3081696432636155,0.039574428574818826,0.940203634500796,0.30434782608695654
10,1000022,0.0,0,20,2,500,200,-10,2.7864544897701697,3.1470015078746267,0.24437927663734116,60,1.0,0.37510349014970956,0.1346762416874352,0.952030270855168,0.47157190635451507
11,1100022,0.0,0,20,2,500,200,-10,1.0019440010285523,0.8410363752894974,0.11402623612512611,17,1.0,0.1810494123901352,0.06010733674296245,0.93684588103981,0.07357859531772576
12,1200022,0.0,0,20,2,500,200,-10,0.6525316064931279,0.6461784436881293,0.11290322580645161,8,1.0,0.3359788920094717,0.13672763004488112,0.9626570335993357,0.026755852842809364
13,1300022,0.0,0,20,2,500,200,-10,0.865450026506345,0.8618511635579682,0.14678899082568803,16,1.0,0.35376875433597577,0.0920548833899635,0.9455011712021877,0.07692307692307693
14,1400022,0.0,0,20,2,500,200,-10,2.578769624214155,2.579727693720666,0.1798336798336798,19,1.0,0.44156997910631607,0.12664342638024015,0.9716173241621081,0.49498327759197325
15,1500022,0.0,0,20,2,500,200,-10,1.0581414203565438,1.2916339190009076,0.1495422177009156,2,1.0,0.1694523192275315,0.07613825372092795,0.9508332910197176,0.13043478260869565
16,1600022,0.0,0,20,2,500,200,-10,1.0885190499886295,0.9541250086591683,0.09464627151051618,16,1.0,0.3394375360077274,0.07974485812291575,0.9412949795341751,0.1939799331103679
17,1700022,0.0,0,20,2,500,200,-10,3.0667101233920633,2.18110944168054,0.1974656810982049,34,1.0,0.2968752834506658,0.012356187297111042,0.9394452872408683,0.5351170568561873
18,1800022,0.0,0,20,2,500,200,-10,0.8228071775524544,0.893210111251827,0.10264227642276431,2,1.0,0.29331001515333427,0.04306084766162943,0.9647541482943155,0.11705685618729098
19,1900022,0.0,0,20,2,500,200,-10,1.7240916149851915,1.9692972853354265,0.12039532794249767,11,1.0,0.15012402694172067,0.15208435517246977,0.9603919395659063,0.5250836120401338
20,2000022,0.0,0,20,2,500,200,-10,1.1924307279144275,1.7970646701747968,0.1968283582089553,41,1.0,0.5856242739552213,0.2297818901017091,0.958906870993685,0.28762541806020064
21,2100022,0.0,0,20,2,500,200,-10,1.1975370627976374,1.712166570221532,0.10828729281767953,5,1.0,0.17934466034413926,0.12314606177138052,0.9499762745217825,0.21070234113712374
22,2200022,0.0,0,20,2,500,200,-10,1.617137691545316,1.9846134433273848,0.11609195402298844,9,1.0,0.4795708446236749,0.11565074951852089,0.9602660101619203,0.43478260869565216
23,2300022,0.0,0,20,2,500,200,-10,1.4567288289233422,1.641552716653261,0.13817097415506951,183,1.0,0.3685440171260573,0.3749742907308322,0.9832589076872048,0.22408026755852842
24,2400022,0.0,0,20,2,500,200,-10,1.1888511081663786,1.5519200356429015,0.15004659832246034,33,1.0,0.5322732187069033,0.171413240154116,0.9714171828970786,0.18729096989966554
25,2500022,0.0,0,20,2,500,200,-10,1.967172784215278,1.5891596631607423,0.1842843779232928,24,1.0,0.33492195069428665,0.22593397564133616,0.9852796667640982,0.411371237458194
26,2600022,0.0,0,20,2,500,200,-10,1.5730640784448209,1.2874559567721975,0.1454730417090539,11,1.0,0.348573719735064,0.3137412169931894,0.9757536871208837,0.38127090301003347
27,2700022,0.0,0,20,2,500,200,-10,1.8829618097120369,1.5637089139778733,0.11554621848739495,12,1.0,0.19586542849028346,0.2515500604281065,0.9541022879250519,0.4414715719063545
28,2800022,0.0,0,20,2,500,200,-10,1.0810900186173924,1.153412807620672,0.14194915254237292,2,1.0,0.31947137808844117,-0.016296383863231484,0.944655434346393,0.26421404682274247
29,2900022,0.0,0,20,2,500,200,-10,0.9207183763742174,0.6915664032609393,0.13333333333333333,19,1.0,0.17027417530557243,0.020519036156907436,0.9613606063184391,0.033444816053511704
0,2022,0.2,0,20,2,500,200,-10,3.9698237582404503,3.4353808871338525,0.19248395967002752,27,1.0,0.29947973151791574,0.2583957608962104,0.965394232421426,0.6287625418060201
1,102022,0.2,0,20,2,500,200,-10,0.8900871806962866,0.9364540276752148,0.13209393346379647,21,1.0,0.2921215223198378,0.24672109523168254,0.9677005180386231,0.08695652173913043
2,202022,0.2,0,20,2,500,200,-10,0.7502017963229558,0.743269401768047,0.13319011815252407,3,1.0,0.4396518621496295,0.10299843096748779,0.9706426401837779,0.07357859531772576
3,302022,0.2,0,20,2,500,200,-10,1.104403456886277,1.2424123865412768,0.14152892561983474,8,1.0,0.200251916490014,0.07418371809618815,0.9559027826552722,0.16387959866220736
4,402022,0.2,0,20,2,500,200,-10,1.3792224416364511,1.8495445990634092,0.2602739726027398,67,1.0,0.46982809733727643,0.3863219498703007,0.9846251999592659,0.2508361204013378
5,502022,0.2,0,20,2,500,200,-10,2.1059406385823136,2.545088953885339,0.15778474399164064,28,1.0,0.2956888439899221,0.058529544184648764,0.9628621077732106,0.6588628762541806
