run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,stabilization_price,stabilization_price_ratio,stabilization_gap,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
0,20320,0.2,0,300,2,100,500,200,-10,4.528022853259555,4.472792530714041,0.1128107074569789,45,0.8866666666666667,94.91,0.9073613766730402,0.0926386233269598,0.2717203603772902,0.1579982780665861,0.957047601366694,0.6153846153846154
1,1020320,0.2,0,300,2,100,500,200,-10,3.4674188928189937,3.681606064054851,0.3472222222222222,22,1.0,87.752,0.8125185185185185,0.1874814814814814,0.4533459321064911,0.1736114791104675,0.9679537238885478,0.5719063545150501
2,2020320,0.2,0,300,2,100,500,200,-10,1.8406947759802317,1.915542685901254,0.2558795860771402,11,1.0,105.478,0.9922671683913452,0.0077328316086547,0.2166528623418155,0.143561626106598,0.9576064521328848,0.1237458193979933
3,3020320,0.2,0,300,2,100,500,200,-10,3.0878080548449844,2.3783842189232227,0.3025291828793774,12,1.0,108.782,1.0581906614785994,-0.0581906614785994,0.1528243561477924,0.1056418478521888,0.9354231304666202,0.4882943143812709
4,4020320,0.2,0,300,2,100,500,200,-10,1.3630262142581668,1.4638918792276572,0.2466281310211945,2,1.0,89.85400000000001,0.8656454720616572,0.1343545279383428,0.4144717752342276,0.1608965583476696,0.9626691042748304,0.411371237458194
5,5020320,0.2,0,300,2,100,500,200,-10,1.6508073509105643,2.016197821859893,0.1320960698689955,11,1.0,93.226,1.0177510917030568,-0.0177510917030567,0.2041359678996342,0.1126615795020256,0.9420882439425474,0.1906354515050167
6,6020320,0.2,0,300,2,100,500,200,-10,2.766442071863619,2.4308605655879956,0.092822966507177,5,1.0,111.562,1.0675789473684212,-0.0675789473684211,0.1863463089592673,-0.0010162916590557,0.9477411249400512,0.7658862876254181
7,7020320,0.2,0,300,2,100,500,200,-10,0.3032234681826667,0.5028779001856124,0.1072124756335282,12,1.0,102.97999999999998,1.0037037037037035,-0.0037037037037035,0.4288074076249308,-0.0475020776318379,0.968358035248134,0.0
8,8020320,0.2,0,300,2,100,500,200,-10,2.866203887049209,2.6802584802719864,0.2416107382550336,20,0.9733333333333334,94.142,0.9026078619367212,0.0973921380632788,0.2822581747283831,0.1018568916880793,0.9758327921538013,0.6622073578595318
9,9020320,0.2,0,300,2,100,500,200,-10,3.147824762539028,2.6783430489323536,0.3168805528134254,10,1.0,98.648,0.9738203356367228,0.0261796643632772,0.3440619020573096,0.1017239500374535,0.9407649991979884,0.391304347826087
10,10020320,0.2,0,300,2,100,500,200,-10,0.9399592260325405,0.7330505646814763,0.1711711711711711,5,1.0,110.508,0.9955675675675676,0.0044324324324325,0.2667364067439523,0.094290969270747,0.9638444226465708,0.0535117056856187
11,11020320,0.2,0,300,2,100,500,200,-10,1.2156215732482851,1.0975617127488675,0.4698544698544699,6,1.0,96.192,0.99991683991684,8.316008316000545e-05,0.4181019735555593,0.2082838435445687,0.9609125895175572,0.1103678929765886
12,12020320,0.2,0,300,2,100,500,200,-10,3.348398215044704,3.4045237977014216,0.1843687374749498,4,1.0,100.126,1.0032665330661323,-0.0032665330661323,0.2300526621035693,0.2487190855249962,0.9794434574163348,0.6354515050167224
13,13020320,0.2,0,300,2,100,500,200,-10,3.807960447685761,3.749290385803184,0.4538375973303671,8,1.0,92.348,1.027230255839822,-0.0272302558398218,0.3955805698740977,0.1976743815887592,0.9630469175133328,0.5351170568561873
14,14020320,0.2,0,300,2,100,500,200,-10,1.0563641382664146,1.272609115870403,0.1185031185031185,1,1.0,89.42200000000001,0.9295426195426196,0.0704573804573803,0.3060262254943395,0.0289263041005206,0.9466055922777318,0.0735785953177257
15,15020320,0.2,0,300,2,100,500,200,-10,1.9479740941092192,1.2938196515992175,0.377521613832853,28,1.0,110.61,1.0625360230547551,-0.0625360230547551,0.501055008504154,0.2749365352738866,0.9811541400852912,0.3377926421404682
16,16020320,0.2,0,300,2,100,500,200,-10,1.199694095651464,1.3946795909004366,0.183609958506224,22,1.0,98.426,1.021016597510373,-0.0210165975103733,0.3922352211426988,0.1024194114670473,0.9619563077805025,0.0903010033444816
17,17020320,0.2,0,300,2,100,500,200,-10,1.7838674258077902,2.1500966004811435,0.1666666666666666,15,1.0,78.192,0.8987586206896551,0.1012413793103449,0.2550894392729897,0.2936745586605896,0.9701894868321668,0.31438127090301
18,18020320,0.2,0,300,2,100,500,200,-10,1.4304460930806138,1.3483753344580451,0.2409867172675522,6,1.0,100.79800000000002,0.956337760910816,0.0436622390891839,0.168786101355578,0.1057777519670422,0.9507745924031727,0.1839464882943143
19,19020320,0.2,0,300,2,100,500,200,-10,3.742601766967959,4.557638939877748,0.1175373134328359,38,0.88,111.114,1.0365111940298506,-0.0365111940298505,0.3786132003525546,0.299689014445165,0.9756787694811624,0.7759197324414716
20,20020320,0.2,0,300,2,100,500,200,-10,1.547603246962327,1.7871050650755378,0.0858585858585858,13,1.0,96.00399999999998,0.9697373737373736,0.0302626262626265,0.3132178206853793,0.1017746506087788,0.9660491462260932,0.2207357859531772
21,21020320,0.2,0,300,2,100,500,200,-10,0.8555401591308336,0.922539034712912,0.1813084112149533,6,1.0,104.16400000000002,0.9734953271028038,0.0265046728971961,0.435784601022871,0.2889182601653519,0.9743396367768016,0.0635451505016722
22,22020320,0.2,0,300,2,100,500,200,-10,1.1783150700621328,1.4715900463339158,0.2961711711711711,5,1.0,96.618,1.0880405405405404,-0.0880405405405404,0.3421773585974051,0.3116196791791143,0.9473697650410304,0.2107023411371237
23,23020320,0.2,0,300,2,100,500,200,-10,3.812390556738452,4.307728528176464,0.1520408163265306,17,1.0,94.81000000000002,0.967448979591837,0.032551020408163,0.2078780737739494,-0.0142328515365511,0.9586231434670968,0.94314381270903
24,24020320,0.2,0,300,2,100,500,200,-10,2.9063180494781995,2.365352779941662,0.2835978835978835,15,1.0,103.458,1.0947936507936509,-0.0947936507936508,0.3982689531404392,0.2714211283082868,0.972344782354492,0.2976588628762542
25,25020320,0.2,0,300,2,100,500,200,-10,2.1580467878447935,1.7794581297929228,0.2532110091743119,9,1.0,100.76200000000004,0.924422018348624,0.0755779816513758,0.467510004456322,0.2509721091302753,0.9684678338675966,0.2575250836120401
