shock_dp,hft_frac,baseline_mean,treatment_mean,threshold_1_3x,above_threshold,U_stat,p_value,significant,tipping_point,n_baseline,n_treatment
-10.0,0.0,2.3123,2.3123,3.006,False,,,False,False,30,30
-10.0,0.1,2.3123,2.4929,3.006,False,361.0,0.09537,False,False,30,30
-10.0,0.2,2.3123,1.9913,3.006,False,461.0,0.5675,False,False,30,30
-10.0,0.3,2.3123,2.2388,3.006,False,435.0,0.41513,False,False,30,30
-10.0,0.4,2.3123,2.5759,3.006,False,345.0,0.06118,False,False,30,30
-10.0,0.5,2.3123,3.0393,3.006,True,281.0,0.00637,True,True,30,30
-10.0,0.6,2.3123,2.6993,3.006,False,415.0,0.305,False,False,30,30
-10.0,0.7,2.3123,3.2455,3.006,True,312.0,0.02103,True,False,30,30
-10.0,0.8,2.3123,2.5769,3.006,False,368.0,0.11412,False,False,30,30
-10.0,0.9,2.3123,3.7219,3.006,True,297.0,0.01208,True,False,30,30
-10.0,1.0,2.3123,3.353,3.006,True,298.0,0.01255,True,False,30,30
-5.0,0.0,1.9908,1.9908,2.588,False,,,False,False,30,30
-5.0,0.1,1.9908,1.9713,2.588,False,479.0,0.66863,False,False,30,30
-5.0,0.2,1.9908,2.4846,2.588,False,327.0,0.03506,True,False,30,30
-5.0,0.3,1.9908,2.5476,2.588,False,264.0,0.00305,True,False,30,30
-5.0,0.4,1.9908,2.2418,2.588,False,411.0,0.28461,False,False,30,30
-5.0,0.5,1.9908,2.3286,2.588,False,388.0,0.18161,False,False,30,30
-5.0,0.6,1.9908,2.4364,2.588,False,402.0,0.24126,False,False,30,30
-5.0,0.7,1.9908,2.765,2.588,True,370.0,0.11992,False,False,30,30
-5.0,0.8,1.9908,3.26,2.588,True,254.0,0.00192,True,True,30,30
-5.0,0.9,1.9908,3.0072,2.588,True,312.0,0.02103,True,False,30,30
-5.0,1.0,1.9908,2.5794,2.588,False,333.0,0.0425,True,False,30,30
-2.0,0.0,1.7605,1.7605,2.2887,False,,,False,False,30,30
-2.0,0.1,1.7605,1.9882,2.2887,False,407.0,0.26489,False,False,30,30
-2.0,0.2,1.7605,1.7968,2.2887,False,414.0,0.29984,False,False,30,30
-2.0,0.3,1.7605,2.3796,2.2887,True,298.0,0.01255,True,True,30,30
-2.0,0.4,1.7605,2.0814,2.2887,False,397.0,0.21882,False,False,30,30
-2.0,0.5,1.7605,2.5776,2.2887,True,305.0,0.01633,True,False,30,30
-2.0,0.6,1.7605,2.8133,2.2887,True,333.0,0.0425,True,False,30,30
-2.0,0.7,1.7605,2.7375,2.2887,True,251.0,0.00167,True,False,30,30
-2.0,0.8,1.7605,2.4292,2.2887,True,294.0,0.01075,True,False,30,30
-2.0,0.9,1.7605,2.9567,2.2887,True,263.0,0.00291,True,False,30,30
-2.0,1.0,1.7605,3.1365,2.2887,True,251.0,0.00167,True,False,30,30
-1.0,0.0,1.7265,1.7265,2.2444,False,,,False,False,30,30
-1.0,0.1,1.7265,1.8683,2.2444,False,470.0,0.61909,False,False,30,30
-1.0,0.2,1.7265,1.8929,2.2444,False,409.0,0.27466,False,False,30,30
-1.0,0.3,1.7265,1.8434,2.2444,False,427.0,0.3697,False,False,30,30
-1.0,0.4,1.7265,2.7772,2.2444,True,249.0,0.00152,True,True,30,30
-1.0,0.5,1.7265,2.114,2.2444,False,349.0,0.06866,False,False,30,30
-1.0,0.6,1.7265,2.4819,2.2444,True,352.0,0.07472,False,False,30,30
-1.0,0.7,1.7265,2.6012,2.2444,True,291.0,0.00956,True,False,30,30
-1.0,0.8,1.7265,3.1203,2.2444,True,206.0,0.00016,True,False,30,30
-1.0,0.9,1.7265,3.1726,2.2444,True,185.0,5e-05,True,False,30,30
-1.0,1.0,1.7265,3.0672,2.2444,True,221.0,0.00036,True,False,30,30
-0.5,0.0,1.7262,1.7262,2.2441,False,,,False,False,30,30
-0.5,0.1,1.7262,1.7461,2.2441,False,453.0,0.52063,False,False,30,30
-0.5,0.2,1.7262,1.9615,2.2441,False,390.0,0.18952,False,False,30,30
-0.5,0.3,1.7262,2.1904,2.2441,False,354.0,0.07899,False,False,30,30
-0.5,0.4,1.7262,2.3744,2.2441,True,300.0,0.01354,True,True,30,30
-0.5,0.5,1.7262,2.6295,2.2441,True,235.0,0.00076,True,False,30,30
-0.5,0.6,1.7262,2.2837,2.2441,True,281.0,0.00637,True,False,30,30
-0.5,0.7,1.7262,2.9141,2.2441,True,232.0,0.00065,True,False,30,30
-0.5,0.8,1.7262,2.8274,2.2441,True,286.0,0.00782,True,False,30,30
-0.5,0.9,1.7262,2.6323,2.2441,True,265.0,0.00319,True,False,30,30
-0.5,1.0,1.7262,3.1857,2.2441,True,223.0,0.00041,True,False,30,30
